中文名稱、英文名稱、代碼
阿拔泉溪,Abaqyuan River,AB
高屏溪,Gaoping River,GO
高寮溪,Gauliao River,GU
溝坪溪,Gouping River,GP
光復溪,Guangfu River,GG
官田溪,Guantian River,GT
龜重溪,Guizhong River,GI
過溪,Guo River,GB
海豐崙溪,Haifenglun River,HA
寒溪,Han River,HN
旱溪,Han River,HB
河內溪,Henei River,HE
和平溪,Heping River,HP
和社溪,Heshe River,HS
紅石溪,Hongshi River,HO
紅葉溪,Hongye River,HG
後旦溪,Houdan River,HU
後堀溪,Houjue River,HJ
後龍溪,Houlong River,HL
花蓮溪,Hualien River,HI
虎尾溪,Huwei River,HW
加典溪,Jiadian River,JI
嘉豐一號溪,Jiafeng No.1 River,JA
嘉豐二號溪,Jiafeng No.2 River,JF
嘉豐溪,Jiafeng River,JE
加蘭溪,Jialan River,JL
加鹿溪,Jialu River,JU
加納富溪,Jianafu River,JN
嘉武溪,Jiawu River,JW
加走寮溪,Jiazouliao River,JZ
雞隆河,Jilong River,JO
景山溪,Jingshan River,JG
急水溪,Jishui River,JS
九岸溪,Jiuan River,JB
九芎坑溪,Jiuqiongkeng River,JQ
郡坑溪,Junkeng River,JK
崁頂溪,Kanding River,KA
卡社溪,Kashe River,KS
口隘溪,Kouai River,KO
蘭陽溪,Lanyang River,LA
荖溪,Lao River,LO
荖濃溪,Laonong River,LN
老田寮溪,Laotianliao River,LT
樂合溪,Lehe River,LE
雷公坑溪,Leigongkeng River,LI
樂樂溪,Lele River,LL
苓雅溪,Lingya River,LG
留茂安溪,Liumaoan River,LU
六重溪,Liuzhong River,LZ
鹿寮溪,Luliao River,LB
鹿鳴溪,Luming River,LM
崙埤溪,Lunpi River,LP
崙天溪,Luntian River,LC
崙子溪,Lunzi River,LD
羅東溪,Luodong River,LF
螺仔溪,Luozi River,LH
鹿野溪,Luye River,LY
馬鞍溪,Ma'an River,MA
馬加祿溪,Majialu River,MJ
碼崙溪,Malun River,ML
茂安溪,Mao'an River,MO
貓羅溪,Maoluo River,MU
馬太鞍溪,Matai'an River,MT
眉溪,Mei River,ME
梅林溪,Meilin River,MI
美濃溪,Meinong River,MN
美優溪,Meiyou River,MY
密枝溪,Mizhi River,MZ
馬佛溪,Mofo River,MF
木瓜溪,Mugua River,MG
木坑溪,Mukeng River,MK
那菝林溪,Nabalin River,NA
楠溪,Nan River,NN
南港溪,Nangang River,NG
南河溪,Nanhe River,NH
南湖溪,Nanhu River,NU
南清水溝溪,Nanqingshuigou River,NQ
南庄溪,Nanzhuang River,NZ
內茅埔溪,Neimaopu River,NE
泥水溪,Nishui River,NI
牛稠溪,Niuchou River,NC
牛稠埔溪,Niuchoupu River,NO
牛稠埔坑溪,Niuchoupukeng River,NP
牛角灣溪,Niujiowan River,NJ
牛埔溪,Niupu River,NB
北清水溪,North Qingshui River,NR
排谷溪,Paigu River,PA
平林溪,Pinglin River,PI
破鐺溪,Podang River,PO
朴子溪,Puzi River,PU
清水溪,Qingshui River,QI
旗山溪,Qishan River,QS
三疊溪,Sandie River,SA
沙河溪,Shahe River,SH
上坪溪,Shangping River,SN
山里溪,Shanli River,SL
扇平溪,Shanping River,SP
十八重溪,Shibachong River,SI
實谷富溪,Shigufu River,SG
石龜溪,Shigui River,SU
石榴班溪,Shiliuban River,SB
石牛溪,Shiniu River,SC
石硦溪,Shinong River,SO
石仔坑溪,Shizikeng River,SZ
獅子頭溪,Shizitou River,ST
壽豐溪,Shoufeng River,SF
水長流溪,Shuichangliu River,SD
水里溪,Shuili River,SE
四重溪,Sizhong River,SJ
松羅溪,Songluo River,SK
松子腳溪,Songzijiao River,SM
南清水溪,South Qingshui River,SQ
太多蘭溪,Taiduolan River,TA
塔羅灣溪,Taluowan River,TL
淡水河,Tamsui River,TM
天狗溪,Tiangou River,TI
頭汴坑溪,Toubiankeng River,TO
頭前溪,Touqian River,TU
土場溪,Tuchang River,TC
萬安溪,Wanan River,WA
萬大溪,Wanda River,WN
萬里溪,Wanli River,WL
灣丘溪,Wanqiu River,WQ
汶水溪,Wenshui River,WE
烏溪,Wu River,WU
武鹿溪,Wulu River,WB
武洛溪,Wuluo River,WO
烏牛欄溪,Wuniulan River,WI
五十溪,Wushi River,WS
烏石坑溪,Wushikeng River,WH
仙草埔溪,Xiancaopu River,XI
小礁溪,Xiaojiao River,XA
霄裡溪,Xiaoli River,XO
新店溪,Xindian River,XN
新武呂溪,Xinwulu River,XW
秀姑巒溪,Xiuguluan River,XU
秀巒溪,Xiuluan River,XL
鹽水溪,Yanshui River,YA
鹽水坑溪,Yanshuikeng River,YN
葉子寮溪,Yeziliao River,YE
宜蘭河,Yilan River,YI
油車溪,Youche River,YO
油羅溪,Youluo River,YU
圓山溪,Yuanshan River,YS
雲林溪,Yunlin River,YL
澐水溪,Yunshui River,YH
曾文溪,Zengwen River,ZE
中港溪,Zhonggang River,ZH
中平溪,Zhongping River,ZO
中野溪,Zhongye River,ZN
卓溪,Zhuo River,ZU
卓棍溪,Zhuogun River,ZG
濁口溪,Zhuokou River,ZK
濁水溪,Zhuoshui River,ZS
